Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ClocKin,Chrome 69.0.3497.100,,2018-09-20 18:40:08,2018-09-20 18:40:25,16.452s,PASSED
,,,,,,
Test Cases/CLockIn_automate,Chrome 69.0.3497.100,,2018-09-20 18:40:08,2018-09-20 18:40:25,16.102s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-20 18:40:09,2018-09-20 18:40:14,4.720s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-20 18:40:14,2018-09-20 18:40:17,3.010s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-20 18:40:17,2018-09-20 18:40:17,0.736s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 18:40:17,2018-09-20 18:40:18,0.161s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-20 18:40:18,2018-09-20 18:40:19,1.239s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 18:40:19,2018-09-20 18:40:20,0.735s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 18:40:20,2018-09-20 18:40:23,3.030s,PASSED
click,Chrome 69.0.3497.100,,2018-09-20 18:40:23,2018-09-20 18:40:24,1.277s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-20 18:40:24,2018-09-20 18:40:25,0.728s,PASSED
